text,label,palavras tóxicas,palavras não tóxicas,palavras neutras,contagem tóxica,contagem não tóxica,contagem neutras,contagem de palavras,contagem de letras
"puta que pariu, eu t toda me tremendo, ainda bem que minha me me acordou",1,1,1,1,15,14,14,15,72
libera a porra do  fdp,1,1,1,1,5,5,5,5,22
"devia ter desejado a morte dele.

desculpa, t puta!",1,1,1,1,8,7,7,9,51
"sim, gente. sim
fico puta quando t no meu momento e nego vem me tontear, porraaa",1,1,1,1,16,14,14,16,80
cheio de tudo cansado vai toma no cu,1,1,1,1,8,8,8,8,36
o bunda mole cachaceiro amante de ladro escroto,1,1,1,1,8,7,7,8,47
vai canta seu puto,1,1,1,1,4,4,4,4,18
"galera o babyshark est a procura de uma babyfish pra brincar de borbulhas de amor, a fila est aberta",0,1,1,1,16,19,16,19,100
simmm mano kkkkk e deu o que aquele fdp merecia,1,1,1,1,10,9,9,10,47
"toda vez que a nicole diz que eh feia uma fada morre

de leptospirose",0,1,1,1,11,13,11,14,69
vocs falam fazer amor ou foder? dependendo do meu humor eu mudo. hoje o mood t mais pra primeira opo,1,1,1,1,20,17,17,20,100
"ahhh cara, eu nunca consigo fazer nada direito. pqp",1,1,1,1,9,7,7,9,51
bela rola quero uma dessa,1,1,1,1,5,5,5,5,25
desanimei legal.,0,0,1,0,0,2,0,2,16
"esse   um queima rosca desgraado hahahahaha recalcada e invejosa, jornalista de taubat rs...",1,1,1,1,12,7,7,13,92
o cara abre a porra da porta como um colosso uma besta enjaulada como um gladiador como um leo como um destruidor de planetas,1,1,1,1,23,19,19,24,125
pqp eu amei,0,1,1,1,3,3,3,3,11
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa v infartar vem logo porra,0,1,1,1,4,5,4,6,112
puta q pariu todo jogo de vlei eu fico nervosa,1,1,1,1,10,10,10,10,46
a q nojo desses tipo de pessoa,1,1,1,1,7,7,7,7,30
eu reclamando todo ms pra fazer tudo de novo depois,0,1,1,1,10,10,10,10,51
"est aguardando o vdeo de segunda feira que vem n querido? =x 
kkkkkkkkkkk",0,1,1,1,11,13,11,13,73
"CPX DO MACACO
CPX DO SO CARLOS
CPX DA MAR
CPX DA PEDREIRA
CPX DA SERRINHA
CPX DA CORIA
CPX DA ALMA
MUQUIO
VILA ALIANA
ILHA DO GOVERNADOR
BARRO VERMELHO
GUACHA, GOG
ACARI,AMARELINHO,PARA PAZ
PL,VG,CDA
CMARA,VILA ALIANA
RIO DAS OSTRAS,JACAPAZ

S QUEM E CRIA3",0,1,1,1,14,43,14,44,256
"cara eu queria deixar registrado aqui o meu amor pela neylane, sinceramente, uma puta de uma mulher e profissional!!!!!! mano as coisas fluem to bem com ela que eu fico chocada",1,1,1,1,30,27,26,31,176
tudo  um grande mistrio. essa t a graa da filosofia. at a simples experincia de ver  um grande mistrio.,0,1,1,1,16,19,16,19,103
vai tomar no cu tranquilo :d,1,1,1,1,5,5,5,6,28
vtnc q azar do krlh,0,1,1,1,4,5,4,5,19
sheilla e brait voltando caralhoooooo. meu tri t vivo porraaaaaaaa vamo caralho vamoooo #voleinaglobo,1,1,1,1,13,13,13,14,101
"vsf, esse cara  muito foda",1,1,1,1,5,4,4,5,26
Ficam reclamando de porn aqui mas  melhor ver aqui que no d nenhum lucro pra quem fez doq nos sites pqp a indstria  um nojo mas  por isso mesmo que tanta gente trouxe pra c. Militantes do tt agora vcs foram longe demais,1,1,1,1,42,39,39,43,219
sabina puta merda voc  maravilhosa aaaa,0,1,1,1,5,6,5,6,39
"s tag lixo nesse twitter, a direita no cansa de passar vergonha",0,1,1,1,12,12,12,12,63
eu amo esse menino,0,1,1,1,4,4,4,4,18
"a tranquilidade de entrar no uber, estando junto com um homem, o q o e tem de gigante, tem de injusta.",0,1,1,1,20,20,20,21,102
entendi o recado,0,1,1,1,2,3,2,3,16
eu que sabotei o copo dessa piranha,1,1,1,1,7,6,6,7,35
a feia l kkkkllkllllllkkkkkk,1,1,1,1,3,3,3,4,28
o mnimo que eu espero  o mundo na sua mo porra,1,1,1,1,11,11,11,11,46
fome  lixo,0,1,1,1,2,2,2,2,10
"Domingo que vem, dia 04/08, o #BancoDaNao vai marcar presena no 12 Encontro das Embaixadas Rubro-Negras do Nordeste. (continua...)",0,1,1,1,11,18,11,19,130
o jovem descobriu a energia eltrica parabns,0,1,1,1,5,7,5,7,43
"#STFVergonhaNacional 
COMO PODE UM PAS TER UMA CORTE DESSA S SENDO MESMO INDICAO DO PT ,PSDB,MDB  ISSO QUE D COLOCAR ESSA GENTALHA GENTALHA NO PODER.",1,1,1,1,24,17,17,25,149
"e outra, ningum sabe o dia do outro e o que o outro est passando, por esse motivo, algumas pessoas buscam sempre cultivar o bem estar coletivo, outras o contrrio",0,1,1,1,27,30,27,30,161
Camarote. Tu  um vagabundo. Escravinho de globalista. Ningum ta cagando pro terrorista pai do bandido prsidente da OAB. Ele vai ser  preso logo mais. E vc levar uma vida de mentiras at morrer esquecido por todos.,1,1,1,1,35,31,31,36,212
"mano, esse tempo ta maravilhoso, vsf, vou la mercado e comprar chocolates e besteiras pra comer assistindo filme",1,1,1,1,18,16,16,18,112
na relikia dos amigos kkkkkkkkkkkkkkkkkkkk,0,1,1,1,3,4,3,5,42
ele acha que jornalismo investigativo  isso.,0,1,1,1,5,6,5,6,44
pqp olha a lngua eu to surtando purpili  real sim e nada mais importa se no for a minha opinio boa noite,1,1,1,1,22,21,21,22,104
gente eu ia mesmo ler pq pensei q era au realkkkkklkkkkkkkk,0,1,1,1,10,10,10,11,59
"esqueci a porra do casaco, vou passar maior frio na loja hj",0,1,1,1,11,12,11,12,59
"faa tudo o que puder, lute! seja humilde, conquiste o mundo!",0,1,1,1,6,11,6,11,60
"entao pq os dois jogos entre atletico x botafogo teve arbitragem brasileira?

como vc expli",0,1,1,1,11,14,11,15,91
o cu ta q nao passa nada,1,1,1,1,7,7,7,7,24
"toma no cu, massa dms, e vc ta na onde ?",0,1,1,1,11,11,11,11,40
"vc n gosta de suju?   sobre o leeteuk? 
eu me referia ao modo que o fandom trata o show do bts na arabia, como se super junior tivesse feito isso possvel(?) e no o esforo dos 7, fora isso eu no tenho nada contra eles",1,1,1,1,45,39,39,45,216
"que clica insuportvel e essa cr, porra",1,1,1,1,7,7,7,7,38
caralho mano a tandara  um furaco,1,1,1,1,5,5,5,6,33
"vai ter exposed sim

menino manipulador, me chamava de gordo e de fracassado, nunca passou um dia comigo

mas na internet queria mostar q eu era especial

especial pra quem?",0,1,1,1,27,30,27,30,173
a gente  brasil filho da puta,1,1,1,1,6,6,6,6,29
faz pergunta l  #curiouscat,0,1,1,1,3,3,3,4,27
"e a bia que se perdeu no caminho com a biz branca dela e eu e a marcela fomos desesperadas atras, ficamos procurando ela no caminho achando q ela tinha sofrido algum acidente e a vagabunda tava na casa dela comendo espetinho VSFD MANO",1,1,1,1,44,38,38,44,234
"rapaz esse pessoal t demais hein, pqp",0,1,1,1,7,7,7,7,37
"Por isso prefiro mil vezes conversar com minha tia, o que tiver que falar ela fala, o que tiver que conversar ela conversa, mas sem reclamar, sem me d esporro, e sem criticar as decises que eu tomei, eu em, chatice do caralho",1,1,1,1,43,40,40,43,225
"por que vocs chamam um estranho de ""m"" e ""anjo""?

nunca entendi
sempre achei que apelidos carinhosos deveriam ser destinados a pessoas ntimas

frescura da porra 
cansei",1,1,1,1,27,21,21,27,168
eu sou doida p cortar meu cabelo assim aaa,0,1,1,1,9,9,9,9,42
cadela vagabunda dps apaga isso agora,1,1,1,1,6,4,4,6,37
q mulhero da porra kroi gata dmsss,0,1,1,1,5,6,5,7,34
isso  desesperador!,0,1,1,1,1,1,1,2,19
"Apesar das recentes atuaes fracas do Cuellar, a diferena dele pro Piris  gritante. O paraguaio  combativo, tem raa e marca, mas no tem muita qualidade com a bola nos ps. Precisa melhorar muito nesse fundamento. Fazer o jogo andar. Talvez JJ possa ajud-lo.
SRN",0,1,1,1,26,43,26,44,259
kkkkkkkkkkkk nada a declarar,0,1,1,1,4,4,4,4,28
"dizem que mulher gosta de homem engraado, sou palhao o tempo todo e estou sozinho vai entender",0,1,1,1,17,17,17,17,94
"temos q valorizar mesmo, dizer q ama, demonstrar, fazer at o impossvel  viver o hoje como se fosse o ltimo dia",1,1,1,1,21,21,21,21,110
a ordem aleatoria me jogou dilsinho p ouvir e agora eu to sentado no cho da sala com minha latinha de skol chorando #sextou,0,1,1,1,21,23,21,24,123
ansiedade ou insegurana?,0,1,1,1,2,2,2,3,24
"eu to simplesmente chocado mano, o cara estudava comigo, pqp",1,1,1,1,10,10,10,10,60
ai ruby vai tomar no cu garota chata dps inferno porra,1,1,1,1,11,10,10,11,54
"o ruim  que no tem nenhum outro para representar, tipo para o so paulo que s tem veado mesmo",1,1,1,1,19,17,17,19,92
"muito lindo esse garoto, pqp",0,1,1,1,5,5,5,5,28
"Hoje GRANDE DIA; A PF est na minha cidade, Itupeva - SP, para prender membros da quadrilha do ex prefeito petista, por corrupo, que sempre foi  denunciado mas ignorado pelo MP local, talvez aparelhado, e que mandou me ameaar, difamar e matar. S agradeo Lava Jato e a Deus.",0,1,1,1,33,49,33,49,272
no to entendendo merda alguma desses limites de funes reais,1,1,1,1,10,10,10,10,59
"o que pe o brasil numa ""situao complicada""  ter um canalha como voc como presidente,",1,1,1,1,15,12,12,15,84
Alguem que me explique o ser humano masculino : na adolescncia uma rapariga que ande a curtir a vida  puta... mas em adultos querem todos comer essa puta,1,1,1,1,27,24,24,28,153
"vai tomar no cu nao sei fazer nada
s quero morrer logo",1,1,1,1,12,12,12,12,54
mds mana parabns atrasado ento,0,1,1,1,4,5,4,5,30
"twitter eu no aguento mais ter q apagar os tweets quando tem algum erro pQ NAO TEM A PORRA DA FUNO DE EDITAR, ATE QUANDO ISSO CARALHO??????",1,1,1,1,26,22,22,27,139
"Como sua Exa. Srgio Moro se pronunciou,o teor das conversas de agentes pblicos so prioritrios sobre o modo de obteno. Por isso sua Exa. vazou gravaes da Presidenta e da intimidade da famlia do ex presidente. Desse modo, Dallagnol cometeu prevaricao. E agora o povo sabe",0,1,1,1,34,46,34,46,269
"esses cara q fica postando vdeo falando q  da roa, jogar eles embaixo de uma vaca vai tudo moia as calas se botar pra tirar leite",0,1,1,1,24,26,24,26,129
"No precisa falar que eu sou bonito, eu sei que sou feio 
#SabadoDetremuraSDV 
#SabadoLigaDaJusticaSDV 
#SabadoEliteDoSDV 
#SabadoGaleraUdoSDV",0,1,1,1,11,15,11,16,141
t nem entendendo legal esse balo gordo pastelado,1,1,1,1,7,7,7,8,48
"eu mereco eh tomar no cu msm, bem feito",1,1,1,1,9,8,8,9,39
"Acho que ningum esteja defendendo a agresso sofrida. O que no d pra admitir  usar a sua influncia na internet pra impor o seu lado da histria. E esse conceito de ""humilhar""  bem relativo. Geralmente requer uma posio mais alta numa hierarquia social, o que no era o caso",0,1,1,1,42,49,42,49,269
eu no acredito que eu praticamente disse que queria ***** com ela kkkkkkkkkkkj meu deus a coragem momentnea,0,1,1,1,16,17,16,18,107
"remediado, na maioria um lixo branco sem cultura e sem grandes esperanas na vida, que, de repente, pode se ver como protagonista de alguma coisa. Ao se definir como conservador e de direita, se sente como algum que protesta, um pequeno heri, supostamente +",1,1,1,1,43,39,39,44,256
gta v online - novo carro vysser neo maserati com grande surpresa!  via,0,1,1,1,9,13,9,13,71
#mpn #nowunited #uniters amigo,0,1,1,1,4,4,4,4,30
vsf kkkkkkkkkkkkkkkkkkkkkkkkk,1,1,1,1,1,2,1,2,29
classificado porra! vem tri olmpico!! #voleinosportv #voleinaglobo,1,1,1,1,7,5,5,7,66
"cinemark
no d pra boicotar tudo nesta vida, mas as coisas mais simples d pra gente fazer sim",0,1,1,1,16,17,16,18,92
eita porra ksksksksk,0,1,1,1,2,2,2,3,20
"kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk caralho, nunca vi tanta verdade junta",1,1,1,1,6,6,6,7,72
fansites no contem comigo pra absolutamente &gt;nada&lt; eu s queria umas hqs e eles ficam regulando at o cu,1,1,1,1,18,14,14,19,108
pessoal do iesb em dias pares finjam que no me conhecem ok pois vou ser mais feia que o normal nos dias impares podem cumprimentar,0,1,1,1,20,25,20,25,130
como q mata algum a 800km de distncia? vsf diego,1,1,1,1,10,8,8,10,48
"Amo quando militam sobre um assunto e me chamam de retardada kkkkkk, milenoca sempre preocupada com as causas feministas e machistas das premiaes coreanas,  realmente tocante!",0,1,1,1,18,24,18,26,175
queria te tempo livre que nem certas pessoas desse site parece q n fazem nada da vida s assistir anime o dia inteiro,0,1,1,1,23,23,23,23,116
"ento ne porra, boa, suju, tvxq, bb e snsd levaram o kpop pra fora da coreia da licensa new kpopper",0,1,1,1,12,19,12,20,98
"parabns ao bolsonaro  e no a vocs , ladres safados, cara de pau",1,1,1,1,13,11,11,13,63
"parece com quem essas falas, visao, igualzin quem ? kkkkkv",0,1,1,1,6,9,6,10,58
"n bate de frente coma twitch nunca , mt fraca essa plataforma na minha humilde opinio",0,1,1,1,14,16,14,16,85
"Na direita ocorre o mesmo, mas a direita (a liberal) tem mais facilidade de apoiar uma verdade de esquerda, do que a esquerda de apoiar uma de direita.",0,1,1,1,25,28,25,28,151
os pia s arma pqp,1,1,1,1,5,5,5,5,17
isso a brasil porra,1,1,1,1,4,4,4,4,19
reflexoes inuteis que ngm pediu mas sei la compartilhar coisas boas aq tb da n,0,1,1,1,14,14,14,15,78
o show do lagum foi ontem n man ra toma no cu eu nem lembrei,0,1,1,1,14,15,14,15,60
roludo falando e metendo a pica,1,1,1,1,5,5,5,6,31
nu eu sou feio dql naip kkkkkkkkk,0,1,1,1,4,7,4,7,33
"se fudeu, branco desgraado",1,1,1,1,4,3,3,4,26
"no vi o vdeo, dando  pra ver dps",0,1,1,1,8,8,8,8,32
n tem sentido nenhum separar pessoas que performam feminilidade ou no pqp  td bissexual e pronto fodase,1,1,1,1,17,14,14,17,103
gringo no sabe o que  um funk a fica nisso,0,1,1,1,10,10,10,10,42
que saudade desse inverno..,0,1,1,1,3,3,3,4,27
se bolsonaro descobrir a cura do cncer vai ter neguinho levantando a hashtag cancerfbico. pqp!,1,1,1,1,15,11,11,15,94
"jr some, mermo pqp",1,1,1,1,4,3,3,4,18
minha princesa maldita te amo,0,1,1,1,5,5,5,5,29
"mais uma mamadeira da lei rouanet, que ficou sem patrocnio do governo. se fosse boa artista, tava calada e trabalhando...",1,1,1,1,19,17,17,20,121
real e oficial,0,1,1,1,3,3,3,3,14
"tatuagem na costela doi mt ,vsf",1,1,1,1,5,4,4,6,31
caralho essa mulher ainda vai acabar comigo,1,1,1,1,7,7,7,7,43
"verdade, o povo foi mesmo.",0,1,1,1,5,5,5,5,26
nossa hoje todo mundo tirou o dia p ser grosso cmg vai toma no cu,1,1,1,1,15,15,15,15,65
essa vai ser outra frase pra silenciar? puta merda viu,0,1,1,1,9,10,9,10,54
que boneco de doente mongol retardado velho,0,1,1,1,6,7,6,7,43
eu reclamo de tudo mas no tem nada q eu odeie mais que os fs de kpop puta merda que gente chata do caralho odeio todos,1,1,1,1,26,24,24,26,118
prazeroso ver um lixo desses apanhando. e foi pouco ainda,1,1,1,1,9,8,8,10,57
"essa  a ditadura anunciada. todos tem o dever moral de nao obedecer, afinal a ""justia"" tomou um lado.",0,1,1,1,14,17,13,18,101
"voc chegou a ir em algum show? meu primeiro show da vida foi deles, nunca vou esquecer os meus surtos pqp",0,1,1,1,20,21,20,21,105
"ignorncia gera ignorncia ,vai achando q vai me tratar mal e vou te tratar bem, mando logo tomar no cu",1,1,1,1,20,19,19,20,101
a universal quer jogo porra!!!! bola para ela.,1,1,1,1,8,7,7,8,46
"sinto cheiro de jungkook usando o cabelo amarrado logo logo, hmmmm",0,1,1,1,9,10,9,11,66
"*momentos nicos do futebol*
torcida gritando andr",0,1,1,1,3,6,3,7,49
"Sou bv(aos 19 anos) e estou com muitas dvidas sobre a minha sexualidade. Nunca senti atrao por nenhum dos sexos , apesar de admirar ,mais h algum tempinho velho admirando demais uma garota e at cheguei a sonhar umas duas vezes com ela e a sensao era muito boa+++",0,1,1,1,43,48,43,49,262
quando a medicina evoluir e as gays comearem a parir pelo cu,1,1,1,1,12,9,9,12,60
"lembrete amigvel de que essa foto existe, e foi tirada no brasil",0,1,1,1,10,11,10,12,64
caralho ainda,1,1,1,1,2,2,2,2,13
"ninguem disse nada, e nem gorda vc , pelo amor de deus, para de ser biscoiteira, isso  um puta de um gatilho pra quem tem baixa autoestima, ento pelo amor de deus, para, so para",1,1,1,1,35,33,33,35,177
"eu escrevo como eu quiser porra 
tyago teago titi thiagueira tiu agueira me deixa em paz",1,1,1,1,16,11,11,16,88
acho incrvel como o outro incomoda a vida alheia,0,1,1,1,9,9,9,9,48
te amo fdp,1,1,1,1,3,3,3,3,10
narrador  to burro que no sabe que o chelsea t na champions essa temp,1,1,1,1,12,11,10,14,69
essa jade casaes  gata demais toma no cu,1,1,1,1,8,7,7,8,40
martinez mostra sua cara desgraada,1,1,1,1,4,5,4,5,34
vai ligar  caralho kjkkkkkjkkkk,0,1,1,1,3,3,3,4,31
eu passo nervoso demais vendo vlei puta merda #voleinaglobo,0,1,1,1,9,9,9,9,59
gente vocs to ligados que j  agosto e nada do r9. rihanna voc me prometeu porra,0,1,1,1,13,16,13,16,79
eu no me seguro,0,1,1,1,4,4,4,4,15
que vagabunda rapaz,1,1,1,1,3,2,2,3,19
"A Luna  a mulher mais linda do mundo, pqp meu corao acelerou. Olha o olhar vibrante dela ppr performar com seu gp novamente. SM EU TE ODEIO",1,1,1,1,27,23,23,27,139
"Porra, j fiz isso enviando artigo pra coisa importante kkkkk

""Segue o texto pedido para ser adicionado ao livro tal...""
depois eu recebo email de volta dizendo q no foi porra nenhuma",1,1,1,1,32,28,28,32,183
brigada,0,0,0,0,0,0,0,1,7
"#horadeporcaf Mtodos infalveis para acordar cedo! 

Pedir pra algum da sua famlia que acorda cedo bater uma panela no seu ouvido as 3:00Am!

S queria dizer que  muito ruim t no liguem! S foi o que eu pensei!",0,1,1,1,31,36,31,38,207
ai bem lkkkk ridculo,0,1,1,1,3,4,3,4,20
que saco eu peo uma coisa pro meu irmo fazer que  colocar o lixo na rua antes de 12h e ele no faz meud eus eh to simples pqp,0,1,1,1,25,29,25,29,124
hoje  o dia que eu vou gastar com plantinha que eu gosto na exposio de flor da cidade que eu no suporto,0,1,1,1,20,21,19,22,103
eu chamo isso de reparao histrica,0,1,1,1,5,6,5,6,33
um olhar de desconfiada...#mylove #pride #lgbt #teamo  em bragana paulista,0,1,1,1,5,10,5,10,74
kkkkk caraio mano que foda,0,1,1,1,5,5,5,5,26
"obrigada por participar da nossa interao anjinho, fico muito feliz que tenha gostado!! ^_^",0,1,1,1,10,13,10,14,90
"odeio gente q fica dando  em porn, vai transar porra",1,1,1,1,10,10,10,10,52
se voc for pela ideia dos outros nunca vai ser feliz.,0,1,1,1,10,11,10,11,53
dor no dente carai,0,1,1,1,4,4,4,4,18
que vergonha filhos da puta,1,1,1,1,5,5,5,5,27
"se eu conseguir terminar eu mando, pq puta merda, que sofrimento",1,1,1,1,11,10,10,11,64
eu vi algo sobre mas nao entendi,0,1,1,1,7,7,7,7,32
minha me eh uma bobona palhaa e mesmo assim 99% dos meus amigos acham ela intimidadora,0,1,1,1,13,15,13,16,86
eu chega to fraca de fome,0,1,1,1,6,6,6,6,25
"sou mt carente de ateno, pqp",1,1,1,1,6,6,6,6,28
pensei nisso tbm. fdp corria demais. me amarrava nele,0,1,1,1,6,9,6,9,53
"hoje  o aniversrio da patinho feio, irei passar o dia c ela",1,1,1,1,12,12,12,12,59
kkkkkkkkkkk ficar puta  pior  fala tu se a gente no  a melhor dupla dinmica,0,1,1,1,13,14,13,14,75
fui trocar o nmero do whats agora t sem whats por 8hrs tnc,1,1,1,1,13,12,12,13,58
mas a fotografada tb ajudou com essa beleza toda pqp  muito linda te amo,1,1,1,1,14,13,13,14,72
"me da um odio quando eu fao algo bom aqui tipo o cafe, ou o almoo, ou so deixo q casa cheirosa e arrumada e entra alguem e fala ta boa p casar enfia esse casamento no seu cu porra, to boa pra viver longe de voces, isso sim",1,1,1,1,49,46,46,49,222
caralho puta que pariu,1,1,1,1,4,4,4,4,22
"ontem quase me foraram a ficar com um menino. tenho puta raiva disso, se eu quiser eu fico...",0,1,1,1,15,17,15,18,93
respeita as meninas brasileira porra,0,1,1,1,5,5,5,5,36
mas  muito burro kkkkk obrigado por ns ajudar a subir a tag!!,1,1,1,1,11,11,11,12,61
eu adoro histria mas o meu professor pqp,1,1,1,1,8,8,8,8,40
quer me deixar puto  querer me fazer de otario,1,1,1,1,9,9,9,9,46
mal posso esperar pra taebaekai dar dinheiro pra esse unit e as fs da sm inda falarem mal,0,1,1,1,14,18,14,18,89
estamos em tquio caralho,0,1,1,1,4,4,4,4,24
jogao de cabelo fdp,0,1,1,1,4,3,3,4,19
"puta que pariu, minha irm! falou que me ama mais uma vez kkkkkkk",0,1,1,1,12,13,12,13,64
"mas s existem dois vdeos,,,",0,1,1,1,4,4,4,5,27
nao eh nenhuma das duas e vcs sabem bem quem eh agr aquietem o cu de vcs,1,1,1,1,17,16,16,17,72
"ta bom kkk
eu sou o robozo  ah vai tomar no seu cu",1,1,1,1,13,12,12,13,50
"Cala a boca seus merdas,a Paula j fez mais de uma viagem com as meninas do BBB patrocinadas,ela n falou desse jeito,q falta do q fazer Uol, vo pra porra",1,1,1,1,29,24,24,30,152
t lendo todo dia do david levithan e pqp perfeito,1,1,1,1,10,9,9,10,49
"tenho q parar um pouco de assistir vis a vis, pqp",1,1,1,1,11,10,10,11,49
"dinheiro pra caralho, mas acho justo kkkkkkkkkkkkkkkkkk",1,1,1,1,7,6,6,7,55
"desculpa, kell smith, mas o joelho ralado doi muito mais que corao partido, puta merda.",1,1,1,1,15,11,11,15,87
meus cachorro se pudesse fala: cala boca n aguento mais ouvi vc falando desse arrombado o dia inteiro sua filha da putaaaa,1,1,1,1,21,19,19,22,122
um cara ridculo foi p trs de mim s p ficar olhando p minha bunda tnc,1,1,1,1,16,16,16,16,68
"no seja maldoso,  pura amizade.",0,1,1,1,3,4,3,5,31
transex  cheia de teso com seu pau duro ideal para iniciantes,1,1,1,1,10,9,9,11,61
Quando vc apelid o atual boi do seu ex de javali e ele torra tanto a porra da sua pacincia porque leva o javali pra dormir na casa dele e na mesma cama que a filha que odeia a situao e reclama e vc pede encarecidamente pra n fazer isso e chama na frente da pirralha de javali,1,1,1,1,58,51,51,58,275
"parece que no, mais criar uma criana sem a participao do pai, pesa mto! tiro pelos meus sobrinhos.",0,1,1,1,15,17,15,18,98
sensato este homem,0,1,1,1,2,3,2,3,18
"roupa de couro  foda pq alm de ser badass, ainda esquenta pra caralho",1,1,1,1,13,12,12,13,69
esse a e carioca kkkkk,1,1,1,1,5,5,5,5,22
bundo voc ...,1,1,1,1,2,2,2,3,13
"vsf, t muito gato.",1,1,1,1,3,2,2,4,18
pior q n usa kkk,0,1,1,1,5,5,5,5,16
vai me dar o cu,1,1,1,1,5,5,5,5,15
pqp perfeita,1,1,1,1,2,2,2,2,12
to feliz que vou beber uma cerveja com o weslley e  isso que importa hoje,0,1,1,1,14,15,14,15,73
"eu acho incrvel a falta de considerao das pessoas , voc se doa 

e a pessoa enfia a considerao no cu",1,1,1,1,21,21,21,21,100
nunca vou superar isso pqp o surto  maior,0,1,1,1,8,8,8,8,41
"bixo em slz smp vai ter algum q tu conhece e q tbm conhece outra pessoa q tu conhece e assim vai
todo mundo se conhec",0,1,1,1,24,25,24,26,117
"eu no foro barra com ningum quer falar cmg fala se no quiser, o cu t a s ir tomar nele.",1,1,1,1,21,21,21,21,87
"No perca a conferncia Vida Nova em Campina Grande com Augustus Nicodemus e Norma Braga! Para mais informaes, acesse: 

#ConferenciaVidaNova #EdicoesVidaNova",0,1,1,1,8,20,8,21,156
vsf que dia triste,0,1,1,1,4,4,4,4,18
eu s queria luisa sonza feat iza  pedir demais?,0,1,1,1,5,8,5,9,47
#stfvergonhanacional bolsonaro faz ligao para responder jornalistas,0,1,1,1,7,7,7,7,67
"a raiva de hoje  para com signos de fogo 

um murro bsico na cara de alguns",0,1,1,1,14,16,14,16,75
porra kkkk,0,1,1,1,2,2,2,2,10
ridcula kkkkkkkkkkkkkk,1,1,1,1,2,2,2,2,22
"a base acho que ficar por conta da S/A, mesmo porque salvo engano, para pagar o CT, 20% da venda de qualquer jogador fica para abatimento junto aos Moreira Salles.",0,1,1,1,23,29,23,30,163
"Voltei a jogar hoje e j tomei uma entrada que quase quebrou a minha perna. Doido do caralho,  cada maluco doente que a gente v na vrzea viu!",1,1,1,1,26,23,23,28,140
"E no fundo eu entendo esse medo, sabe? Eu j fui rejeitado por ser feminino demais e graas a deusa isso nunca foi uma questo pra mim.  frustrante pra porra, mas no num nvel que v afetar a maneira com que eu me comporte.",0,1,1,1,40,43,40,44,218
"independentemente de voc incub-los ou choc-los durante ou aps o evento
Durante o evento, o nmero de presentes que voc pode abrir diariamente aumentar para 30
Durante o evento, o nmero de presentes que voc pode carregar em seu inventrio aumentar para 20
#PokmonGO
(4/5)",0,1,1,1,32,44,32,45,268
"O idiota fez uma brincadeira com porra de cimes e agr eu n sei se eu devo ficar com cimes,acho q ele ia me falar oq era e desistiu VAI SE FUUUUDEEEER todos os homens,bjs",1,1,1,1,34,32,32,35,169
olha o preo do x-tudo + batata + guaravitta pqp 7 conto 7 contooooooooooooooo,0,1,1,1,13,13,13,14,77
"ela no e feia,so no conhece os produtos da jaqueti akakaka",1,1,1,1,10,8,8,11,58
fancam do jin passando pra alegrar sua timeline mutuals,0,1,1,1,7,9,7,9,55
que rica verga,1,1,1,1,2,2,2,3,14
"eu: felipe chega no menino mas manda o papo discretamente ta
felipe: relaxa amiga
felipe pro menino: ei filha da puta tem uma amiga minha querendo te dar come ela",1,1,1,1,30,25,25,30,162
ser feio  foda kkkk,0,1,1,1,4,4,4,4,19
to presa num vdeo pqp,1,1,1,1,5,5,5,5,21
"Um McLanche Feliz no McDonald's + $5,00 mais batata grande senhor?. Quero completo, capricha em mocinho. . O lanche se come com os olhos  #banheirao #putariaMcDonalds #novinho #roludo #amador #puto #bundudo",1,1,1,1,30,17,17,31,206
"Uai se ela quiser ela come, oc passa no bk e come 5 promoes e no dia seguinte t jogando rugby e comendo salada e a tartaruga n te xinga carai",1,1,1,1,30,28,28,31,141
como assim eu no sabia da existncia dessa fancam?!?!?! meu dia foi abenoado!!??,0,1,1,1,10,12,10,13,79
o dia j comea cmg e o lenin falando q um  mais feio q o outro,1,1,1,1,16,15,15,16,61
so pq eu queria ir,0,1,1,1,5,5,5,5,18
que noite meus amigos,0,1,1,1,4,4,4,4,21
"brasil jogou nada esse set, pqp",1,1,1,1,6,5,5,6,31
"uma pena haver colegas do #MPF que prefiram o caminho dos contatos sem transparncia ao processo aberto de candidatura  #listatrplice. Presume-se que sejam pessoas probas, mas no se sabem suas propostas nem o que prometeram para chegar ao cargo",1,1,1,1,39,34,34,39,243
"me deu uma saudade da isa falando "" no "" pra tudokkkkkkk",0,1,1,1,10,11,10,12,56
mano kkkkkkkkkkkkkkk,0,1,1,1,2,2,2,2,20
"olha que voc mentiu pra mim, me traiu possivelmente. mas pqp por qu diabos no consigo te esquecer de vez",0,1,1,1,18,20,18,20,104
"filha da puta no termina de fala as coisa mano 
e ainda diz ""ba ia te fala um bgl""",1,1,1,1,18,17,17,19,82
n por nada mas acho que  justamente o contrrio hein,0,1,1,1,10,10,10,10,51
foi fora pra caralho kkkkk,1,1,1,1,5,5,5,5,26
se sentir sozinha  uma merda pqp,0,1,1,1,6,6,6,6,32
